Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.007   -0.02   -0.015  0.5063402
-0.007   -0.02   -0.014  0.49800217
-0.007   -0.02   -0.013  0.48932976
-0.007   -0.02   -0.012  0.48090512
-0.007   -0.02   -0.011  0.47266114
-0.007   -0.02   -0.01  0.46491694
-0.007   -0.02   -0.009  0.45689756
-0.007   -0.02   -0.008  0.4484148
-0.007   -0.02   -0.007  0.4408169
-0.007   -0.02   -0.006  0.43338132
-0.007   -0.02   -0.005  0.42604637
-0.007   -0.02   -0.004  0.41824538
-0.007   -0.02   -0.003  0.41131157
-0.007   -0.02   -0.002  0.4043858
-0.007   -0.02   -0.001  0.3973034
-0.007   -0.02   0.0  0.3914002
-0.007   -0.02   0.001  0.38600752
-0.007   -0.02   0.002  0.3814581
-0.007   -0.02   0.003  0.37852132
-0.007   -0.02   0.004  0.37402582
-0.007   -0.02   0.005  0.3681766
-0.007   -0.02   0.006  0.3629349
-0.007   -0.02   0.007  0.35824203
-0.007   -0.02   0.008  0.35348582
-0.007   -0.02   0.009  0.34910992
-0.007   -0.02   0.01  0.3450194
-0.007   -0.02   0.011  0.34095562
-0.007   -0.02   0.012  0.33639216
-0.007   -0.02   0.013  0.33214688
-0.007   -0.02   0.014  0.3275429
-0.007   -0.02   0.015  0.3220178
-0.007   -0.02   0.016  0.31656224
-0.007   -0.02   0.017  0.3112036
-0.007   -0.02   0.018  0.30614126
-0.007   -0.02   0.019  0.30123407
-0.006   -0.02   -0.02  0.54851615
-0.006   -0.02   -0.019  0.5398736
-0.006   -0.02   -0.018  0.5315029
-0.006   -0.02   -0.017  0.5227374
-0.006   -0.02   -0.016  0.5136533
-0.006   -0.02   -0.015  0.50450355
-0.006   -0.02   -0.014  0.496283
-0.006   -0.02   -0.013  0.48749477
-0.006   -0.02   -0.012  0.47854865
-0.006   -0.02   -0.011  0.47031754
-0.006   -0.02   -0.01  0.46255314
-0.006   -0.02   -0.009  0.45427877
-0.006   -0.02   -0.008  0.44587302
-0.006   -0.02   -0.007  0.4381305
-0.006   -0.02   -0.006  0.43066
-0.006   -0.02   -0.005  0.42360973
-0.006   -0.02   -0.004  0.41531527
-0.006   -0.02   -0.003  0.40830898
-0.006   -0.02   -0.002  0.401505
-0.006   -0.02   -0.001  0.39457756
-0.006   -0.02   0.0  0.38844448
-0.006   -0.02   0.001  0.3830818
-0.006   -0.02   0.002  0.37983325
-0.006   -0.02   0.003  0.3761428
-0.006   -0.02   0.004  0.3713181
-0.006   -0.02   0.005  0.36578318
-0.006   -0.02   0.006  0.36126673
-0.006   -0.02   0.007  0.35685492
-0.006   -0.02   0.008  0.35213605
-0.006   -0.02   0.009  0.3476261
-0.006   -0.02   0.01  0.34356612
-0.006   -0.02   0.011  0.3395772
-0.006   -0.02   0.012  0.3351308
-0.006   -0.02   0.013  0.33073157
-0.006   -0.02   0.014  0.32593215
-0.006   -0.02   0.015  0.32034713
-0.006   -0.02   0.016  0.31451893
-0.006   -0.02   0.017  0.30920595
-0.006   -0.02   0.018  0.30408153
-0.006   -0.02   0.019  0.29950818
-0.005   -0.02   -0.02  0.5470566
-0.005   -0.02   -0.019  0.5384405
-0.005   -0.02   -0.018  0.5301989
-0.005   -0.02   -0.017  0.5218324
-0.005   -0.02   -0.016  0.51285106
-0.005   -0.02   -0.015  0.50344133
-0.005   -0.02   -0.014  0.4946646
-0.005   -0.02   -0.013  0.4856767
-0.005   -0.02   -0.012  0.47658592
-0.005   -0.02   -0.011  0.46807414
