Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.009   -0.02   -0.016  -0.3858589
-0.009   -0.02   -0.015  -0.3848366
-0.009   -0.02   -0.014  -0.38392603
-0.009   -0.02   -0.013  -0.38274866
-0.009   -0.02   -0.012  -0.38141778
-0.009   -0.02   -0.011  -0.37975907
-0.009   -0.02   -0.01  -0.37821823
-0.009   -0.02   -0.009  -0.3763466
-0.009   -0.02   -0.008  -0.3740958
-0.009   -0.02   -0.007  -0.37184477
-0.009   -0.02   -0.006  -0.3697673
-0.009   -0.02   -0.005  -0.36770064
-0.009   -0.02   -0.004  -0.36599964
-0.009   -0.02   -0.003  -0.36453113
-0.009   -0.02   -0.002  -0.3635192
-0.009   -0.02   -0.001  -0.36227864
-0.009   -0.02   0.0  -0.36105233
-0.009   -0.02   0.001  -0.35975084
-0.009   -0.02   0.002  -0.3586986
-0.009   -0.02   0.003  -0.35780802
-0.009   -0.02   0.004  -0.35745957
-0.009   -0.02   0.005  -0.35750413
-0.009   -0.02   0.006  -0.35753763
-0.009   -0.02   0.007  -0.35792154
-0.009   -0.02   0.008  -0.3584545
-0.009   -0.02   0.009  -0.35821682
-0.009   -0.02   0.01  -0.3578236
-0.009   -0.02   0.011  -0.35772026
-0.009   -0.02   0.012  -0.3575172
-0.009   -0.02   0.013  -0.35672843
-0.009   -0.02   0.014  -0.3560893
-0.009   -0.02   0.015  -0.3556851
-0.009   -0.02   0.016  -0.35553288
-0.009   -0.02   0.017  -0.355347
-0.009   -0.02   0.018  -0.35503954
-0.009   -0.02   0.019  -0.35481983
-0.008   -0.02   -0.02  -0.3930881
-0.008   -0.02   -0.019  -0.39084715
-0.008   -0.02   -0.018  -0.3889054
-0.008   -0.02   -0.017  -0.3872168
-0.008   -0.02   -0.016  -0.38577348
-0.008   -0.02   -0.015  -0.38463962
-0.008   -0.02   -0.014  -0.38377035
-0.008   -0.02   -0.013  -0.38280648
-0.008   -0.02   -0.012  -0.38141114
-0.008   -0.02   -0.011  -0.37989533
-0.008   -0.02   -0.01  -0.37810844
-0.008   -0.02   -0.009  -0.37613356
-0.008   -0.02   -0.008  -0.37391174
-0.008   -0.02   -0.007  -0.37184036
-0.008   -0.02   -0.006  -0.369638
-0.008   -0.02   -0.005  -0.36746943
-0.008   -0.02   -0.004  -0.36537525
-0.008   -0.02   -0.003  -0.36406335
-0.008   -0.02   -0.002  -0.3629039
-0.008   -0.02   -0.001  -0.36180243
-0.008   -0.02   0.0  -0.36056066
-0.008   -0.02   0.001  -0.35932916
-0.008   -0.02   0.002  -0.358154
-0.008   -0.02   0.003  -0.35726398
-0.008   -0.02   0.004  -0.35692775
-0.008   -0.02   0.005  -0.3569296
-0.008   -0.02   0.006  -0.35677505
-0.008   -0.02   0.007  -0.3573277
-0.008   -0.02   0.008  -0.3577736
-0.008   -0.02   0.009  -0.35750997
-0.008   -0.02   0.01  -0.35722768
-0.008   -0.02   0.011  -0.3573292
-0.008   -0.02   0.012  -0.35714608
-0.008   -0.02   0.013  -0.35669142
-0.008   -0.02   0.014  -0.3560164
-0.008   -0.02   0.015  -0.35536844
-0.008   -0.02   0.016  -0.3550409
-0.008   -0.02   0.017  -0.35464263
-0.008   -0.02   0.018  -0.3541122
-0.008   -0.02   0.019  -0.35384142
-0.007   -0.02   -0.02  -0.394121
-0.007   -0.02   -0.019  -0.3916952
-0.007   -0.02   -0.018  -0.38956213
-0.007   -0.02   -0.017  -0.38771406
-0.007   -0.02   -0.016  -0.38594496
-0.007   -0.02   -0.015  -0.3845622
-0.007   -0.02   -0.014  -0.38363513
-0.007   -0.02   -0.013  -0.38274103
-0.007   -0.02   -0.012  -0.38158673
-0.007   -0.02   -0.011  -0.37982967
-0.007   -0.02   -0.01  -0.37784964
-0.007   -0.02   -0.009  -0.37605715
-0.007   -0.02   -0.008  -0.37410873
-0.007   -0.02   -0.007  -0.37173134
-0.007   -0.02   -0.006  -0.36953038
-0.007   -0.02   -0.005  -0.36722785
-0.007   -0.02   -0.004  -0.3650306
-0.007   -0.02   -0.003  -0.36351338
-0.007   -0.02   -0.002  -0.3623715
-0.007   -0.02   -0.001  -0.36112508
-0.007   -0.02   0.0  -0.35997906
-0.007   -0.02   0.001  -0.3587616
-0.007   -0.02   0.002  -0.35758787
-0.007   -0.02   0.003  -0.3563816
-0.007   -0.02   0.004  -0.3558213
-0.007   -0.02   0.005  -0.35599285
-0.007   -0.02   0.006  -0.3559059
-0.007   -0.02   0.007  -0.35630965
-0.007   -0.02   0.008  -0.35661674
-0.007   -0.02   0.009  -0.3567926
-0.007   -0.02   0.01  -0.3569017
-0.007   -0.02   0.011  -0.35711825
-0.007   -0.02   0.012  -0.35692513
-0.007   -0.02   0.013  -0.3563673
-0.007   -0.02   0.014  -0.35579467
-0.007   -0.02   0.015  -0.35517567
-0.007   -0.02   0.016  -0.3545385
-0.007   -0.02   0.017  -0.35414407
-0.007   -0.02   0.018  -0.35361314
-0.007   -0.02   0.019  -0.35319024
-0.006   -0.02   -0.02  -0.39537042
-0.006   -0.02   -0.019  -0.39287502
-0.006   -0.02   -0.018  -0.39067045
-0.006   -0.02   -0.017  -0.3887357
-0.006   -0.02   -0.016  -0.3867604
-0.006   -0.02   -0.015  -0.38506225
-0.006   -0.02   -0.014  -0.38386738
-0.006   -0.02   -0.013  -0.38290238
-0.006   -0.02   -0.012  -0.381575
-0.006   -0.02   -0.011  -0.37991267
-0.006   -0.02   -0.01  -0.37803698
-0.006   -0.02   -0.009  -0.3761345
-0.006   -0.02   -0.008  -0.37425083
-0.006   -0.02   -0.007  -0.37188488
-0.006   -0.02   -0.006  -0.36942667
-0.006   -0.02   -0.005  -0.36715508
-0.006   -0.02   -0.004  -0.36496264
-0.006   -0.02   -0.003  -0.36305064
-0.006   -0.02   -0.002  -0.36170185
-0.006   -0.02   -0.001  -0.36027223
-0.006   -0.02   0.0  -0.3592732
-0.006   -0.02   0.001  -0.35794443
-0.006   -0.02   0.002  -0.3567863
-0.006   -0.02   0.003  -0.35556597
-0.006   -0.02   0.004  -0.35492712
-0.006   -0.02   0.005  -0.35484165
-0.006   -0.02   0.006  -0.3551774
-0.006   -0.02   0.007  -0.35543823
-0.006   -0.02   0.008  -0.35595784
-0.006   -0.02   0.009  -0.35616356
-0.006   -0.02   0.01  -0.3564608
-0.006   -0.02   0.011  -0.35671157
-0.006   -0.02   0.012  -0.35665005
-0.006   -0.02   0.013  -0.35600024
-0.006   -0.02   0.014  -0.35543102
-0.006   -0.02   0.015  -0.35481375
-0.006   -0.02   0.016  -0.3541944
-0.006   -0.02   0.017  -0.35363626
-0.006   -0.02   0.018  -0.3531856
-0.006   -0.02   0.019  -0.35264552
-0.005   -0.02   -0.02  -0.39742312
-0.005   -0.02   -0.019  -0.39476436
-0.005   -0.02   -0.018  -0.39236647
-0.005   -0.02   -0.017  -0.39026356
-0.005   -0.02   -0.016  -0.38821614
-0.005   -0.02   -0.015  -0.38640064
-0.005   -0.02   -0.014  -0.38464022
-0.005   -0.02   -0.013  -0.38302112
-0.005   -0.02   -0.012  -0.3815156
-0.005   -0.02   -0.011  -0.379951
-0.005   -0.02   -0.01  -0.37825578
-0.005   -0.02   -0.009  -0.376292
-0.005   -0.02   -0.008  -0.37420064
-0.005   -0.02   -0.007  -0.371853
-0.005   -0.02   -0.006  -0.36943102
-0.005   -0.02   -0.005  -0.36701375
-0.005   -0.02   -0.004  -0.36484247
-0.005   -0.02   -0.003  -0.36281532
-0.005   -0.02   -0.002  -0.3609955
-0.005   -0.02   -0.001  -0.35956657
-0.005   -0.02   0.0  -0.35827672
-0.005   -0.02   0.001  -0.3570752
-0.005   -0.02   0.002  -0.35599703
-0.005   -0.02   0.003  -0.3549751
-0.005   -0.02   0.004  -0.3544615
-0.005   -0.02   0.005  -0.35439622
-0.005   -0.02   0.006  -0.35474712
-0.005   -0.02   0.007  -0.3550464
-0.005   -0.02   0.008  -0.355583
-0.005   -0.02   0.009  -0.35564744
-0.005   -0.02   0.01  -0.35598958
-0.005   -0.02   0.011  -0.35630578
-0.005   -0.02   0.012  -0.35638404
-0.005   -0.02   0.013  -0.35595536
-0.005   -0.02   0.014  -0.3553713
-0.005   -0.02   0.015  -0.35474718
-0.005   -0.02   0.016  -0.354208
-0.005   -0.02   0.017  -0.35356814
